2025-05-17 19:51:48,713 [INFO] Central Server listening on 0.0.0.0:6000
2025-05-17 19:52:21,858 [INFO] Drone connected from ('127.0.0.1', 56545)
2025-05-17 19:52:21,859 [INFO] Received aggregate: {'average_temperature': 28.115000000000002, 'average_humidity': 60.44, 'anomalies': [], 'battery_level': 69.0, 'status': 'OK', 'timestamp': '2025-05-17T16:52:21.855574+00:00'}
2025-05-17 19:52:23,863 [INFO] Received aggregate: {'average_temperature': 26.156666666666666, 'average_humidity': 51.32333333333333, 'anomalies': [], 'battery_level': 65.0, 'status': 'OK', 'timestamp': '2025-05-17T16:52:23.862310+00:00'}
2025-05-17 19:52:25,873 [INFO] Received aggregate: {'average_temperature': 26.0375, 'average_humidity': 55.807500000000005, 'anomalies': [], 'battery_level': 61.0, 'status': 'OK', 'timestamp': '2025-05-17T16:52:25.873576+00:00'}
2025-05-17 19:52:27,882 [INFO] Received aggregate: {'average_temperature': 25.846000000000004, 'average_humidity': 56.858000000000004, 'anomalies': [], 'battery_level': 57.0, 'status': 'OK', 'timestamp': '2025-05-17T16:52:27.882760+00:00'}
2025-05-17 19:52:29,895 [INFO] Received aggregate: {'average_temperature': 26.375000000000004, 'average_humidity': 58.54500000000001, 'anomalies': [], 'battery_level': 53.0, 'status': 'OK', 'timestamp': '2025-05-17T16:52:29.895098+00:00'}
2025-05-17 19:52:31,897 [INFO] Received aggregate: {'average_temperature': 26.250000000000004, 'average_humidity': 56.40714285714286, 'anomalies': [], 'battery_level': 49.0, 'status': 'OK', 'timestamp': '2025-05-17T16:52:31.897297+00:00'}
2025-05-17 19:52:33,905 [INFO] Received aggregate: {'average_temperature': 25.501250000000002, 'average_humidity': 56.298750000000005, 'anomalies': [], 'battery_level': 44.0, 'status': 'OK', 'timestamp': '2025-05-17T16:52:33.905077+00:00'}
2025-05-17 19:52:35,911 [INFO] Received aggregate: {'average_temperature': 25.60666666666667, 'average_humidity': 55.65444444444445, 'anomalies': [], 'battery_level': 40.0, 'status': 'OK', 'timestamp': '2025-05-17T16:52:35.910929+00:00'}
2025-05-17 19:52:37,921 [INFO] Received aggregate: {'average_temperature': 25.421, 'average_humidity': 57.21600000000001, 'anomalies': [], 'battery_level': 36.0, 'status': 'OK', 'timestamp': '2025-05-17T16:52:37.921986+00:00'}
2025-05-17 19:52:39,935 [INFO] Received aggregate: {'average_temperature': 25.147, 'average_humidity': 59.048, 'anomalies': [], 'battery_level': 32.0, 'status': 'OK', 'timestamp': '2025-05-17T16:52:39.935739+00:00'}
2025-05-17 19:52:41,941 [INFO] Received aggregate: {'average_temperature': 24.940999999999995, 'average_humidity': 56.34000000000001, 'anomalies': [], 'battery_level': 28.0, 'status': 'OK', 'timestamp': '2025-05-17T16:52:41.940783+00:00'}
2025-05-17 19:52:43,950 [INFO] Received aggregate: {'average_temperature': 24.917, 'average_humidity': 58.34899999999999, 'anomalies': [], 'battery_level': 23.0, 'status': 'OK', 'timestamp': '2025-05-17T16:52:43.950133+00:00'}
2025-05-17 19:52:45,053 [INFO] Received aggregate: {'average_temperature': 24.866000000000003, 'average_humidity': 57.14199999999998, 'anomalies': [], 'battery_level': 21.0, 'status': 'OK', 'timestamp': '2025-05-17T16:52:45.052134+00:00'}
2025-05-17 19:53:09,213 [INFO] Received aggregate: {'average_temperature': 25.334000000000003, 'average_humidity': 56.584, 'anomalies': [], 'battery_level': 18.0, 'status': 'RETURNING', 'timestamp': '2025-05-17T16:52:45.957139+00:00'}
2025-05-17 19:53:09,214 [INFO] Received aggregate: {'average_temperature': 25.413999999999998, 'average_humidity': 56.795, 'anomalies': [], 'battery_level': 15.0, 'status': 'RETURNING', 'timestamp': '2025-05-17T16:52:47.106171+00:00'}
2025-05-17 19:53:09,216 [INFO] Received aggregate: {'average_temperature': 25.737000000000002, 'average_humidity': 59.05499999999999, 'anomalies': [], 'battery_level': 13.0, 'status': 'RETURNING', 'timestamp': '2025-05-17T16:52:47.967139+00:00'}
2025-05-17 19:53:09,216 [INFO] Received aggregate: {'average_temperature': 26.401, 'average_humidity': 60.50699999999999, 'anomalies': [], 'battery_level': 10.0, 'status': 'RETURNING', 'timestamp': '2025-05-17T16:52:49.077290+00:00'}
2025-05-17 19:53:09,217 [INFO] Received aggregate: {'average_temperature': 25.802, 'average_humidity': 60.83200000000001, 'anomalies': [], 'battery_level': 8.0, 'status': 'RETURNING', 'timestamp': '2025-05-17T16:52:49.973606+00:00'}
2025-05-17 19:53:09,218 [INFO] Received aggregate: {'average_temperature': 26.424, 'average_humidity': 60.63900000000001, 'anomalies': [], 'battery_level': 5.0, 'status': 'RETURNING', 'timestamp': '2025-05-17T16:52:51.088857+00:00'}
2025-05-17 19:53:09,219 [INFO] Received aggregate: {'average_temperature': 26.573, 'average_humidity': 59.629, 'anomalies': [], 'battery_level': 3.0, 'status': 'RETURNING', 'timestamp': '2025-05-17T16:52:51.980169+00:00'}
2025-05-17 19:53:09,220 [INFO] Received aggregate: {'average_temperature': 26.314, 'average_humidity': 60.342, 'anomalies': [], 'battery_level': 0.0, 'status': 'RETURNING', 'timestamp': '2025-05-17T16:52:53.099361+00:00'}
2025-05-17 19:53:09,221 [INFO] Received aggregate: {'average_temperature': 26.686, 'average_humidity': 60.544000000000004, 'anomalies': [], 'battery_level': 0.0, 'status': 'RETURNING', 'timestamp': '2025-05-17T16:52:53.993196+00:00'}
2025-05-17 19:53:09,222 [INFO] Received aggregate: {'average_temperature': 27.139000000000003, 'average_humidity': 58.791, 'anomalies': [], 'battery_level': 0.0, 'status': 'RETURNING', 'timestamp': '2025-05-17T16:52:55.112507+00:00'}
2025-05-17 19:53:09,223 [INFO] Received aggregate: {'average_temperature': 26.308999999999997, 'average_humidity': 57.387000000000015, 'anomalies': [], 'battery_level': 0.0, 'status': 'RETURNING', 'timestamp': '2025-05-17T16:52:56.019685+00:00'}
2025-05-17 19:53:09,223 [INFO] Received aggregate: {'average_temperature': 25.684000000000005, 'average_humidity': 57.326, 'anomalies': [], 'battery_level': 0.0, 'status': 'RETURNING', 'timestamp': '2025-05-17T16:52:57.122226+00:00'}
2025-05-17 19:53:09,224 [INFO] Received aggregate: {'average_temperature': 25.808999999999997, 'average_humidity': 53.884, 'anomalies': [], 'battery_level': 0.0, 'status': 'RETURNING', 'timestamp': '2025-05-17T16:52:58.017127+00:00'}
2025-05-17 19:53:09,225 [INFO] Received aggregate: {'average_temperature': 25.348999999999997, 'average_humidity': 50.232000000000006, 'anomalies': [], 'battery_level': 0.0, 'status': 'RETURNING', 'timestamp': '2025-05-17T16:52:59.146710+00:00'}
2025-05-17 19:53:09,226 [INFO] Received aggregate: {'average_temperature': 26.038, 'average_humidity': 50.525000000000006, 'anomalies': [], 'battery_level': 0.0, 'status': 'RETURNING', 'timestamp': '2025-05-17T16:53:00.032213+00:00'}
2025-05-17 19:53:09,227 [INFO] Received aggregate: {'average_temperature': 25.865999999999996, 'average_humidity': 49.468, 'anomalies': [], 'battery_level': 0.0, 'status': 'RETURNING', 'timestamp': '2025-05-17T16:53:01.148241+00:00'}
2025-05-17 19:53:09,228 [INFO] Received aggregate: {'average_temperature': 25.753999999999998, 'average_humidity': 50.38, 'anomalies': [], 'battery_level': 0.0, 'status': 'RETURNING', 'timestamp': '2025-05-17T16:53:02.040589+00:00'}
2025-05-17 19:53:09,229 [INFO] Received aggregate: {'average_temperature': 25.267, 'average_humidity': 50.94100000000001, 'anomalies': [], 'battery_level': 0.0, 'status': 'RETURNING', 'timestamp': '2025-05-17T16:53:03.158223+00:00'}
